names,Top_course,location,public/private,rating/5,fee_structure,entrance_text,other_course
Arifa Institute of Technology,B.Tech Artificial Intelligence and Data Science,Nagapattinam,Private,3.9539370078740155,3.7,JEE,5.0
Arifa Polytechnic College,Diploma in Electrical and Electronics Engineering,Nagapattinam,Private,3.9539370078740155,3.7,JEE,6.0
Arignar Anna Institute of Science and Technology,BE Electrical and Electronics Engineering,Kancheepuram,Private,3.0,3.7,JEE,6.0
Aringer Anna College of Engineering and Technology,BE Civil Engineering,Sriperumbudur,Private,3.9539370078740155,3.7,JEE,5.0
Ariyalur Engineering College,BE Computer Science and Engineering,Ariyalur,Private,3.5,3.7,JEE,5.0
ARJ College of Engineering and Technology,BE Computer Science and Engineering,Kannarappettai,Private,3.9539370078740155,3.7,JEE,8.0
ARJ Polytechnic College,Diploma in Mechanical Engineering,Thiruvarur,Private,3.9539370078740155,3.7,JEE,6.0
Arjun College of Technology and Sciences,Diploma in Computer Science and Engineering,Hyderabad,Private,3.3,3.7,JEE,5.0
Arjun College of Technology,BE Computer Science and Engineering,Coimbatore,Private,3.9539370078740155,3.7,JEE,8.0
ARKA Jain University,B.Tech Computer Science and Engineering,Jamshedpur,Private,4.3,5.3,JEE,6.0
Arkay College of Engineering and Technology,Diploma in Electrical and Electronics Engineering,Nizamabad,Private,3.9539370078740155,3.7,JEE,5.0
ARM College of Engineering and Technology,BE Mechanical Engineering,Chennai,Private,3.9539370078740155,3.7,JEE,8.0
AIT Pune - Army Institute of Technology,BE Information Technology,Pune,Private,4.2,8.62,JEE,4.0
Arni School of Technology,B.Tech Civil Engineering,Kangra,Private,3.9539370078740155,4.2,JEE,5.0
Arni University,B.Tech Artificial Intelligence Robotics,Kangra,Private,3.9539370078740155,4.21,JEE,5.0
ARPIT Institute of Engineering and Technology,Diploma in Chemical Engineering,Hadala,Private,3.9539370078740155,3.7,JEE,6.0
Arrdekta Institute of Technology,BE Civil Engineering,Khedbrahma,Private,5.0,3.7,GUJCET,7.0
ARS College of Engineering,BE Civil Engineering,Maraimalai Nagar,Private,3.9539370078740155,3.7,JEE,4.0
